"Localidade";"Ano";"Posição Geográfica - Altitude (m)";"Posição Geográfica - Latitude (texto)";"Posição Geográfica - Longitude (texto)"
"Palestina de Goiás";"2009";"741";"16º 44’ 00” ";"51º 31’ 57” "
"Palestina de Goiás";"2014";"698,76";"";""
"Palmeiras de Goiás";"2009";"596";"16º 48’ 18” ";"49º 55’ 33” "
"Palmeiras de Goiás";"2014";"614,19";"";""
"Palmelo";"2009";"754";"17º 19’ 28” ";"48º 25’ 24” "
"Palmelo";"2014";"727,88";"";""
"Palminópolis";"2009";"719";"16º 47’ 46” ";"50º 09’ 53” "
"Palminópolis";"2014";"673,45";"";""
"Panamá";"2009";"733";"18º 10’ 36” ";"49º 21’ 15” "
"Panamá";"2014";"810,76";"";""
"Paranaiguara";"2009";"479";"18º 54’ 57” ";"50º 39’ 14” "
"Paranaiguara";"2014";"486,1";"";""
"Paraúna";"2009";"721";"16º 56’ 52” ";"50º 26’ 55” "
"Paraúna";"2014";"700,28";"";""
"Perolândia";"2009";"889";"17º 31’ 43” ";"52º 03’ 51” "
"Perolândia";"2014";"904,54";"";""
"Petrolina de Goiás";"2009";"720";"16º 05’ 42” ";"49º 20’ 17” "
"Petrolina de Goiás";"2014";"732,78";"";""
"Pilar de Goiás";"2009";"753";"14º 45’ 50” ";"49º 34’ 42” "
"Pilar de Goiás";"2014";"784,27";"";""
"Piracanjuba";"2009";"742";"17º 18’ 10” ";"49º 01’ 00” "
"Piracanjuba";"2014";"749,72";"";""
"Piranhas";"2009";"389";"16º 25’ 37” ";"51º 49’ 20” "
"Piranhas";"2014";"345,54";"";""
"Pirenópolis";"2009";"770";"15º 51’ 09” ";"48º 57’ 33” "
"Pirenópolis";"2014";"772,83";"";""
"Pires do Rio";"2009";"758";"17º 17’ 59” ";"48º 16’ 46” "
"Pires do Rio";"2014";"768,89";"";""
"Planaltina";"2009";"944";"15º 27’ 10” ";"47º 36’ 51” "
"Planaltina";"2014";"1037,71";"";""
"Pontalina";"2009";"610";"17º 31’ 30” ";"49º 26’ 50” "
"Pontalina";"2014";"655,66";"";""
"Porangatu";"2009";"396";"13º 26’ 27” ";"49º 08’ 55” "
"Porangatu";"2014";"405,45";"";""
"Porteirão";"2009";"470";"17º 48’ 55” ";"50º 09’ 49” "
"Porteirão";"2014";"473,4";"";""
"Portelândia";"2009";"858";"17º 21’ 13” ";"52º 40’ 43” "
"Portelândia";"2014";"863,55";"";""
"Posse";"2009";"811";"14º 05’ 35” ";"46º 22’ 10“ "
"Posse";"2014";"834,23";"";""
"Professor Jamil";"2009";"748";"17º 14’ 55” ";"49º 14’ 30” "
"Professor Jamil";"2014";"733,93";"";""
"Quirinópolis";"2009";"541";"18º 26’ 54” ";"50º 27’ 06” "
"Quirinópolis";"2014";"531,96";"";""
"Rialma";"2009";"582";"15º 18’ 54” ";"49º 35’ 04” "
"Rialma";"2014";"573,39";"";""
"Rianápolis";"2009";"589";"15º 26’ 49” ";"49º 30’ 36” "
"Rianápolis";"2014";"567,71";"";""
"Rio Quente";"2009";"663";"17º 46’ 27” ";"48º 46’ 21” "
"Rio Quente";"2014";"677,16";"";""
"Rio Verde";"2009";"715";"17º 47’ 53” ";"50º 55’ 41” "
"Rio Verde";"2014";"743,31";"";""
"Rubiataba";"2009";"632";"15º 09’ 52” ";"49º 48’ 12” "
"Rubiataba";"2014";"638,25";"";""
"Sanclerlândia";"2009";"607";"16º 11’ 51” ";"50º 18’ 52” "
"Sanclerlândia";"2014";"605,09";"";""
"Santa Bárbara de Goiás";"2009";"639";"16º 34’ 26” ";"49º 41’ 40” "
"Santa Bárbara de Goiás";"2014";"641,74";"";""
"Santa Cruz de Goiás";"2009";"754";"17º 18’ 57” ";"48º 28’ 54” "
"Santa Cruz de Goiás";"2014";"764,88";"";""
"Santa Fé de Goiás";"2009";"362";"15º 46’ 09” ";"51º 06’ 20” "
"Santa Fé de Goiás";"2014";"374,21";"";""
"Santa Helena de Goiás";"2009";"562";"17º 48’ 49” ";"50º 35’ 49” "
"Santa Helena de Goiás";"2014";"574,98";"";""
"Santa Isabel";"2009";"611";"15º 17’ 53” ";"49º 25’ 36” "
"Santa Isabel";"2014";"634,79";"";""
"Santa Rita do Araguaia";"2009";"691";"17º 19’ 32” ";"53º 12’ 19” "
"Santa Rita do Araguaia";"2014";"699,76";"";""
"Santa Rita do Novo Destino";"2009";"790";"15º 08’ 07” ";"49º 07’ 13” "
"Santa Rita do Novo Destino";"2014";"808,04";"";""
"Santa Rosa de Goiás";"2009";"837";"16º 05’ 06” ";"49º 29’ 37” "
"Santa Rosa de Goiás";"2014";"793,34";"";""
"Santa Tereza de Goiás";"2009";"409";"13º 42’ 52” ";"49º 00’ 54” "
"Santa Tereza de Goiás";"2014";"409,13";"";""
"Santa Terezinha de Goiás";"2009";"353";"14º 26’ 17” ";"49º 42’ 22” "
"Santa Terezinha de Goiás";"2014";"326,81";"";""
"Santo Antônio da Barra";"2009";"578";"17º 33’ 41” ";"50º 38’ 03” "
"Santo Antônio da Barra";"2014";"567,39";"";""
"Santo Antônio de Goiás";"2009";"800";"16º 29’ 01” ";"49º 18’ 40” "
"Santo Antônio de Goiás";"2014";"759,89";"";""
"Santo Antônio do Descoberto";"2009";"912";"15º 56’ 23” ";"48º 15’ 18” "
"Santo Antônio do Descoberto";"2014";"899,01";"";""
"São Domingos";"2009";"677";"13º 23’ 54” ";"46º 19’ 06” "
"São Domingos";"2014";"675,97";"";""
"São Francisco de Goiás";"2009";"747";"15º 55’ 50” ";"49º 15’ 40” "
"São Francisco de Goiás";"2014";"749,97";"";""
"São João d'Aliança";"2009";"986";"14º 42’ 20” ";"47º 31’ 29” "
"São João d'Aliança";"2014";"1023,23";"";""
"São João da Paraúna";"2009";"640";"16º 48’ 53” ";"50º 24’ 36” "
"São João da Paraúna";"2014";"602,81";"";""
"São Luis de Montes Belos";"2009";"579";"16º 31’ 30” ";"50º 22’ 20” "
"São Luis de Montes Belos";"2014";"574,5";"";""
"São Luiz do Norte";"2009";"564";"14º 51’ 45” ";"49º 19’ 46” "
"São Luiz do Norte";"2014";"584,05";"";""
"São Miguel do Araguaia";"2009";"337";"13º 16’ 30” ";"50º 09’ 46” "
